Distance mahalanobis,Phrase,Index phrase,Roman
5.3707213,"Soit que le croisement des rues , l ' interposition des maisons eussent causé par réfraction cette erreur d ' acoustique , soit qu ' il soit très difficile de situer un son dont la place ne nous est pas connue , je m ' étais trompé , tout autant sur la distance , que sur la direction .",12669,2guermantes1.txt
5.386901,"je ne l ' y entendais pas , je l ' y voyais , les sons n ' ont pas de lieu .",12365,2guermantes1.txt
5.41867,"Dans le calme absolu de ce quartier , j ' entendais devant moi des paroles et des rires qui devaient venir de promeneurs à demi avinés qui rentraient .",12665,2guermantes1.txt
5.420508,"Les efforts que faisait M . de Froberville pour qu ' on n ' entendît pas son rire l ' avaient fait devenir rouge comme un coq , et malgré cela c ' est en entrecoupant ses mots de hoquets de joie qu ' il s ' écria d ' un ton miséricordieux : « Oh ! pauvre tante Saint - Euverte , elle va en faire une maladie !",20890,3sodome1.txt
5.4280496,"Cela ne m ' empêchait pas de prendre à les écouter quand elles me parlaient autant de plaisir qu ' à les regarder , à découvrir dans la voix de chacune d ' elles un tableau vivement coloré .",11031,1ombre3.txt
5.4517164,"Certes il arrive quelquefois qu ' un malade auquel on a hermétiquement bouché les oreilles n ' entende plus le bruit d ' un feu pareil à celui qui rabâchait en ce moment dans la cheminée de Saint - Loup , tout en travaillant à faire des tisons et des cendres qu ' il laissait ensuite tomber dans sa corbeille , n ' entende pas non plus le passage des tramways dont la musique prenait son vol , à intervalles réguliers , sur la grand ' place de Doncières .",12367,2guermantes1.txt
5.481801,"il avait entendu un bruit singulier , j ' eus peine à le maîtriser et à ne pas être jeté à terre , puis je levai vers le point d ' où semblait venir ce bruit mes yeux pleins de larmes , et je vis à une cinquantaine de mètres au - dessus de moi , dans le soleil , entre deux grandes ailes d ' acier étincelant qui l ' emportaient , un être dont la figure peu distincte me parut ressembler à celle d ' un homme .",26448,3sodome2.txt
5.4890466,"Bien distincts dans ce quartier si tranquille ( où les bruits n ' étaient plus un motif de tristesse pour Françoise et en étaient devenus un de douceur pour moi ) m ' arrivaient , chacun avec sa modulation différente , des récitatifs déclamés par ces gens du peuple comme ils le seraient dans la musique , si populaire , de Boris , où une intonation initiale est à peine altérée par l ' inflexion d ' une note qui se penche sur une autre , musique de la foule qui est plutôt un langage qu ' une musique .",29416,4laprison.txt
5.493045,"C ' est ainsi qu ' il m ' arrivait à Paris , dans ma chambre , d ' entendre une dispute , presque une émeute , jusqu ' à ce que j ' eusse rapporté à sa cause , par exemple une voiture dont le roulement approchait , ce bruit dont j ' éliminais alors ces vociférations aiguës et discordantes que mon oreille avait réellement entendues , mais que mon intelligence savait que des roues ne produisaient pas .",10075,1ombre3.txt
5.514938,"Mais ce bonsoir durait si peu de temps , elle redescendait si vite , que le moment où je l ’ entendais monter , puis où passait dans le couloir à double porte le bruit léger de sa robe de jardin en mousseline bleue , à laquelle pendaient de petits cordons de paille tressée , était pour moi un moment douloureux .",117,0ducote.txt
5.5174184,"Je ne pense pas non plus que les légers et nombreux souvenirs qui se rapportaient à cette dame , et auxquels je ne cessais de demander de m ' aider ( par des exhortations comme celle - ci : « Voyons , c ' est cette dame qui est amie de Mme de Souvré , qui éprouve à l ' endroit de Victor Hugo une admiration si naïve , mêlée de tant d ' effroi et d ' horreur » ) , je ne crois pas que tous ces souvenirs , voletant entre moi et son nom , aient servi en quoi que ce soit à le renflouer .",20382,3sodome1.txt
5.525104,"Car après avoir presque « parlé » : « les escargots , ils sont frais , ils sont beaux » , c ' était avec la tristesse et le vague de Maeterlinck , musicalement transposés par Debussy , que le marchand d ' escargots , dans un de ces douloureux finales par où l ' auteur de _ Pelléas _ s ' apparente à Rameau : « Si je dois être vaincue , est - ce à toi d ' être mon vainqueur ? »",29419,4laprison.txt
5.5251184,"Mais parfois retentissait la sirène comme un appel déchirant de Walkyrie - - seule musique allemande qu ’ on eût entendue depuis la guerre - - jusqu ’ à l ’ heure où les pompiers annonçaient que l ’ alerte était finie tandis qu ’ à côté d ’ eux la berloque , comme un invisible gamin , commentait à intervalles réguliers la bonne nouvelle et jetait en l ’ air son cri de joie .",37900,6retrouve1.txt
5.544016,"Dans un bois l ' amateur d ' oiseaux distingue aussitôt ces gazouillis particuliers à chaque oiseau , que le vulgaire confond .",11034,1ombre3.txt
5.5455413,"Certaines des nourritures criées dans la rue , et que personnellement je détestais , étaient fort au goût d ' Albertine , si bien que Françoise en envoyait acheter par son jeune valet , peut - être un peu humilié d ' être confondu dans la foule plébéienne .",29415,4laprison.txt
5.551958,"La lourde rumeur d ' un bain qu ' on prépare s ' atténue , s ' allège et s ' éloigne comme un gazouillement céleste .",12369,2guermantes1.txt
5.574439,"Et même quand il ne bougeait pas , comme les gens vulgaires il faisait tout le temps entendre des bruits qui , du moment que je voyais monter la flamme , se montraient à moi des bruits de feu , mais que , si j ' eusse été de l ' autre côté du mur , j ' aurais cru venir de quelqu ' un qui se mouchait et marchait .",12354,2guermantes1.txt
5.622463,"Ces mots , j ' avais cessé de les entendre un instant pendant qu ' Albertine était auprès de moi tout à l ' heure .",27903,3sodome2.txt
5.63766,"Mais j ' étais obligé d ' attendre longtemps , car le silence environnant était si profond qu ' il avait laissé passer avec une netteté et une force extrêmes des bruits encore lointains .",12667,2guermantes1.txt
5.6576376,"Son sommeil n ' était qu ' une sorte d ' effacement du reste de la vie , qu ' un silence uni sur lequel prenaient de temps à autre leur vol des paroles familières de tendresse .",29390,4laprison.txt
5.668884,"Et comme notre nouveau quartier paraissait aussi calme que le boulevard sur lequel nous avions donné jusque - là était bruyant , la chanson ( distincte de loin , quand elle est faible , comme un motif d ' orchestre ) d ' un homme qui passait , faisait venir des larmes aux yeux de Françoise en exil .",11647,2guermantes1.txt
5.6784983,"il soufflait froid et continu d ' une autre direction venue du fond du passé , me rapportant la sonnerie d ' heures lointaines , des sifflements de départ que je n ' entendais pas d ' habitude .",35119,5disparue1.txt
5.6825175,"Ah ! ce ne fut pas la suppression de la souffrance que produisirent en moi les deux premières lignes du télégramme : « Mon pauvre ami , notre petite Albertine n ' est plus , pardonnez - moi de vous dire cette chose affreuse , vous qui l ' aimiez tant .",34325,5disparue1.txt
5.688667,"Ici c ' était bien encore à la déclamation à peine lyrique de Moussorgsky que faisait penser le marchand , mais pas à elle seulement .",29418,4laprison.txt
5.6898217,Et cette atténuation des sons trouble même quelquefois le sommeil au lieu de le protéger .,12380,2guermantes1.txt
5.695247,L ' amateur de jeunes filles sait que les voix humaines sont encore bien plus variées .,11035,1ombre3.txt
5.726849,"et aussi par les mouches qui exécutaient devant moi , dans leur petit concert , comme la musique de chambre de l ’ été : elle ne l ’ évoque pas à la façon d ’ un air de musique humaine , qui , entendu par hasard à la belle saison , vous la rappelle ensuite ;",958,0ducote.txt
5.7468295,"Les procédés de narration destinés à exciter la curiosité ou l ’ attendrissement , certaines façons de dire qui éveillent l ’ inquiétude et la mélancolie , et qu ’ un lecteur un peu instruit reconnaît pour communs à beaucoup de romans , me paraissaient simples - - à moi qui considérais un livre nouveau non comme une chose ayant beaucoup de semblables , mais comme une personne unique , n ’ ayant de raison d ’ exister qu ’ en soi , - - une émanation troublante de l ’ essence particulière à François le Champi .",484,0ducote.txt
5.7668343,"Mais , là , le sommeil avait fabriqué des sons .",25797,3sodome2.txt
5.77194,"Toutes en étaient , persuadées .",18307,2guermantes3.txt
5.773008,Je croyais l ' entendre .,12823,2guermantes1.txt
5.7886662,"mais cent fois par heure le courant interrompu était rétabli , et mon cœur était brûlé sans pitié par un feu d ' enfer , tandis que je voyais Albertine ressuscitée par ma jalousie , vraiment vivante , se raidir sous les caresses de la petite blanchisseuse à qui elle disait : « Tu me mets aux anges » .",34967,5disparue1.txt
5.789396,"« Et , mon vieux , ajoute l ’ amateur en vous prenant par le bras , moi c ’ est la huitième fois que je l ’ entends , et je vous jure bien que ce n ’ est pas la dernière . »",39417,6retrouve2.txt
5.8210616,"Certes la fantaisie , l ' esprit de chaque marchand ou marchande , introduisaient souvent des variantes dans les paroles de toutes ces musiques que j ' entendais de mon lit .",29425,4laprison.txt
5.848416,Il en différait autant que la déclamation - - à peine colorée par des variations insensibles - - de Boris Godounow et de Pelléas ;,29411,4laprison.txt
5.849782,"Une des jeunes filles que je ne connaissais pas se mit au piano , et Andrée demanda à Albertine de valser avec elle .",22591,3sodome1.txt
5.8571925,"aujourd ' hui , à la surface de silence étendue sur notre sommeil , un heurt plus fort que les autres arrive à se faire entendre , léger comme un soupir , sans lien avec aucun autre son , mystérieux ;",12382,2guermantes1.txt
5.866704,"Ces paroles de Swann auraient pu fausser , pour plus tard , ma compréhension de la Sonate , la musique étant trop peu exclusive pour écarter absolument ce qu ' on nous suggère d ' y trouver .",6433,1ombre1.txt
5.8686924,"Car l ' appel qu ' ils lançaient aux petites maisons voisines n ' avait , à de rares exceptions près , rien d ' une chanson .",29410,4laprison.txt
5.8747206,"Et même en tenant compte de cette originalité acquise qui m ' avait frappé dès l ' après - midi , de cette parenté que les musicographes pourraient trouver entre eux , c ' est bien un accent unique auquel s ' élèvent , auquel reviennent malgré eux ces grands chanteurs que sont les musiciens originaux , et qui est une preuve de l ' existence irréductiblement individuelle de l ' âme .",31276,4laprison.txt
5.882272,"Le recul du bruit , son amincissement , lui ôtent toute puissance agressive à notre égard ;",12370,2guermantes1.txt
5.8838167,"Comme je les répétai , renouvelant le choc à plaisir , ces mots de hangar , de couloir , de salon , quand Saint - Loup fut parti !",34234,5disparue1.txt
5.8838177,Le pépiement matinal des oiseaux semblait insipide à Françoise .,11639,2guermantes1.txt
5.912137,"Hier encore les bruits incessants , en nous décrivant d ' une façon continue les mouvements dans la rue et dans la maison , finissaient par nous endormir comme un livre ennuyeux ;",12381,2guermantes1.txt
5.912707,mais c ’ était comme des lettres de feu qui le brûlaient .,4142,0ducote.txt
5.9209137,"Ceux qui m ’ assaillaient tout à l ’ heure au sujet de la réalité de mes dons littéraires , et même de la réalité de la littérature , se trouvaient levés comme par enchantement .",39166,6retrouve2.txt
5.921102,"Jadis , quand le vent soufflait dans ma cheminée , j ' écoutais les coups qu ' il frappait contre la trappe avec autant d ' émotion que si , pareils aux fameux coups d ' archet par lesquels débute la Symphonie en ut mineur , ils avaient été les appels irrésistibles d ' un mystérieux destin .",16391,2guermantes2.txt
5.9248114,"Ce n ' est pas dans les froids pastiches des écrivains d ' aujourd ' hui qui disent : au fait ( pour en réalité ) , singulièrement ( pour en particulier ) , étonné ( pour frappé de stupeur ) , etc . , etc . , qu ' on retrouve le vieux langage et la vraie prononciation des mots , mais , en causant avec une Mme de Guermantes ou une Françoise ;",28281,4laprison.txt
5.924889,"Je m ' arrêtais pour les voir , je regardais du côté où j ' avais entendu le bruit .",12666,2guermantes1.txt
5.9330354,"Alors que le malade lise , et les pages se tourneront silencieusement comme si elles étaient feuilletées par un dieu .",12368,2guermantes1.txt
5.938008,"Et , peut - être , ces bruits avaient - ils été devancés eux - mêmes par quelque émanation plus rapide et plus pénétrante qui , glissée au travers de mon sommeil , y répandait une tristesse annonciatrice de la neige , ou y faisait entonner , à certain petit personnage intermittent , de si nombreux cantiques à la gloire du soleil que ceux - ci finissaient par amener pour moi , qui encore endormi commençais à sourire , et dont les paupières closes se préparaient à être éblouies , un étourdissant réveil en musique .",27954,4laprison.txt
5.9474487,"Mais peut - être cela même me rendait - il la vie plus poétique de penser que la race mystérieuse aux yeux perçants , au bec d ’ oiseau , la race rose , dorée , inapprochable , s ’ était trouvée si souvent , si naturellement , par l ’ effet de circonstances aveugles et différentes , s ’ offrir à ma contemplation , à mon commerce , même à mon intimité , au point que , quand j ’ avais voulu connaître Mlle de Stermaria ou faire faire des robes à Albertine , c ’ était , comme aux plus serviables de mes amis , à des Guermantes que je m ’ étais adressé .",40367,6retrouve2.txt
5.9567113,On ne l ' entendait même pas .,32152,4laprison.txt
5.9827743,"Mon hésitation entre les diverses jeunes filles de la petite bande lesquelles gardaient toutes un peu du charme collectif qui m ' avait d ' abord troublé , s ' ajouta - t - il aussi à ces causes pour me laisser plus tard , même au temps de mon plus grand - - de mon second - - amour pour Albertine , une sorte de liberté intermittente , et bien brève , de ne l ' aimer pas .",10197,1ombre3.txt
6.012256,"grâce à eux j ' avais de sa vérité une notion aussi certaine , de son charme enivrant et frivole une jouissance aussi complète que celles que j ' avais à Combray , au mois de juillet , quand j ' entendais les coups de marteau de l ' emballeur et que je jouissais , dans la fraîcheur de ma chambre noire , de la chaleur et du soleil .",16967,2guermantes3.txt
6.012607,"Que l ' expression suffise à faire croire à d ' énormes différences entre ce que sépare un infiniment petit - - qu ' un infiniment petit puisse à lui seul créer une expression absolument particulière , une individualité - - ce n ' était pas que l ' infiniment petit de la ligne , et l ' originalité de l ' expression , qui faisaient apparaître ces visages comme irréductibles les uns aux autres .",11549,1ombre3.txt
6.0214705,Alors j ' entendis le tic tac en un lieu fixe d ' où il ne bougea plus .,12363,2guermantes1.txt
6.038818,"et après cette étroite interruption où le silence s ' était fait musique , il reprenait avec mon sommeil avant même que les dragons eussent fini de passer , me dérobant les dernières gerbes épanouies du bouquet jaillissant et sonore .",12498,2guermantes1.txt
6.042372,"Car en me représentant le retour en somme si aisé d ' Albertine , brusquement toutes les raisons qui rendaient notre mariage une chose mauvaise pour moi revinrent avec toute leur force .",34062,5disparue1.txt
6.0445437,"Et elle ajouta encore , avec application , ceci de sa marquise à elle , Mme de Sévigné : « En les écoutant je pensais qu ' ils me préparaient les délices d ' un adieu . »",15858,2guermantes2.txt
6.0474534,"Puis , parvenu si haut , prolongé avec tant de force , le chant , mêlé d ' un murmure de supplication dans la volupté , semblait à certains moments s ' arrêter tout à fait comme une source s ' épuise .",16302,2guermantes2.txt
6.047753,Leur affection ne survit pas à l ' exaltation qui la dicte ;,18938,2guermantes3.txt
6.0730352,"Un nouveau bruit de pas retentissait , je ne me levais pas , ce devait être encore un valet de pied , c ' était M . Swann .",6352,1ombre1.txt
6.1031866,"les formes , - - et celle aussi du petit coquillage de pâtisserie , si grassement sensuel , sous son plissage sévère et dévot - - s ’ étaient abolies , ou , ensommeillées , avaient perdu la force d ’ expansion qui leur eût permis de rejoindre la conscience .",568,0ducote.txt
6.1041284,L ’ avez - vous entendue ? »,1138,0ducote.txt
6.106891,"Et quand , par hasard , j ' apercevais l ' un de ces oiseaux qui passait d ' une feuille sous une autre , il y avait si peu de lien apparent entre lui et ces chants que je ne croyais pas voir la cause de ceux - ci dans ce petit corps sautillant , étonné et sans regard .",8690,1ombre2.txt
6.1162252,"Je fus aussi surpris de voir l ' ironie que cachait l ' amabilité apparente des Verdurin pour Brichot que d ' entendre , quelques jours plus tard , à Féterne , les Cambremer me dire , devant l ' éloge enthousiaste que je faisais de la Raspelière : « Ce n ' est pas possible que vous soyez sincère , après ce qu ' ils en ont fait . »",25076,3sodome2.txt
6.120603,Chacune possède plus de notes que le plus riche instrument .,11036,1ombre3.txt
6.126174,"Là on percevait exactement le bruit des vagues , qui ne parvenait pas au contraire dans les parties plus enfoncées du jardin , là où le flot se laissait voir encore , mais non plus entendre .",25998,3sodome2.txt
6.1272125,"Et en ce moment où ma grand ' mère était si mal , la besogne de Françoise lui semblait particulièrement sienne .",15997,2guermantes2.txt
6.1287193,"Françoise ayant entendu mon coup de sonnette entra , assez inquiète de la façon dont je prendrais ses paroles et sa conduite .",33510,4laprison.txt
6.132472,"Mais ce trompe - l ’ œil qui mettait près de moi un moment du passé , incompatible avec le présent , ce trompe - l ’ œil ne durait pas .",39222,6retrouve2.txt
6.1345363,"Elles sont folles à lier , je l ' ai toujours dit .",16358,2guermantes2.txt
6.1435328,Dans ces yeux et dans cette voix je retrouvais beaucoup de la nature de Combray .,18162,2guermantes3.txt
6.1476665,On sentait trop la méchanceté qui les dictait et cela ne faisait que faire mépriser un peu plus celles qui en avaient pris l ' initiative .,11444,1ombre3.txt
6.1494746,Quelquefois même cette heure prématurée sonnait deux coups de plus que la dernière ;,1000,0ducote.txt
6.1527004,"« Comment , le même aigle ?",34132,5disparue1.txt
6.1555877,Mais avec Albertine il n ' y avait que cela .,16456,2guermantes2.txt
6.1626177,"Et , ajouta - t - elle - - car si elle se moquait encore de la littérature nouvelle , celle - ci , peut - être par la vulgarisation des journaux ou à travers certaines conversations , s ' était un peu infiltrée en elle - - c ' est même ce qu ' il y a de beau dans l ' amour , parce que c ' est justement ce qui le rend « mystérieux » .",14473,2guermantes2.txt
6.1677547,"Qu ' était , à côté de la souffrance que je ressentais , la jalousie que j ' avais pu éprouver le jour où Saint - Loup avait rencontré Albertine avec moi à Doncières et où elle lui avait fait des agaceries ? celle aussi que j ' avais éprouvée en repensant à l ' initiateur inconnu auquel j ' avais pu devoir les premiers baisers qu ' elle m ' avait donnés à Paris , le jour où j ' attendais la lettre de Mlle de Stermaria ?",27781,3sodome2.txt
6.1840596,Si vous n ' avez même pas lu Molière . . .,26161,3sodome2.txt
6.192003,Encore ne s ' agissait - il que de Françoise dont je ne me souciais guère .,12252,2guermantes1.txt
6.1937685,"et les cris des oiseaux qui tournaient autour de lui semblaient accroître son silence , élancer encore sa flèche et lui donner quelque chose d ’ ineffable .",774,0ducote.txt
6.211351,On n ' aurait pu parler de pensée à propos de Françoise .,7953,1ombre2.txt
6.217624,"Et si , sous ma fenêtre , le vol inlassable et doux des martinets et des hirondelles n ' avait pas monté comme un jet d ' eau , comme un feu d ' artifice de vie , unissant l ' intervalle de ses hautes fusées par la filée immobile et blanche de longs sillages horizontaux , sans le miracle charmant de ce phénomène naturel et local qui rattachait à la réalité les paysages que j ' avais devant les yeux , j ' aurais pu croire qu ' ils n ' étaient qu ' un choix , chaque jour renouvelé , de peintures qu ' on montrait arbitrairement dans l ' endroit où je me trouvais et sans qu ' elles eussent de rapport nécessaire avec lui .",9720,1ombre3.txt
6.2232695,"Et comme j ' avais ajouté à demi ironiquement : « J ' ai souffert toutes les tortures de la jalousie , » Albertine , usant du langage propre , soit au milieu vulgaire d ' où elle était sortie , soit au plus vulgaire encore qu ' elle fréquentait : « Quel chineur vous faites !",32390,4laprison.txt
6.2309456,"Mais elle , rebelle , extérieure à leur diction , restait irréductiblement leur voix naturelle , avec ses défauts ou ses charmes matériels , sa vulgarité ou son affectation quotidiennes , et étalait ainsi un ensemble de phénomènes acoustiques ou sociaux que n ' avait pas altéré le sentiment des vers récités .",12049,2guermantes1.txt
6.236675,"Pourtant comme celui - ci était causé par l ' entrée de Françoise , entrée qu ' avait elle - même motivée mon coup de sonnette , ce nouveau sommeil qui me paraissait avoir dû être plus long que l ' autre et avait amené en moi tant de bien - être et d ' oubli , n ' avait duré qu ' une demi - minute .",9913,1ombre3.txt
6.240134,"La joie que lui avaient causée telles sonorités , les forces accrues qu ' elle lui avait données pour en découvrir d ' autres , menaient encore l ' auditeur de trouvaille en trouvaille , ou plutôt c ' était le créateur qui le conduisait lui - même , puisant dans les couleurs qu ' il venait de trouver une joie éperdue qui lui donnait la puissance de découvrir , de se jeter sur celles qu ' elles semblaient appeler , ravi , tressaillant , comme au choc d ' une étincelle , quand le sublime naissait de lui - même de la rencontre des cuivres , haletant , grisé , affolé , vertigineux , tandis qu ' il peignait sa grande fresque musicale , comme Michel - Ange attaché à son échelle et lançant , la tête en bas , de tumultueux coups de brosse au plafond de la chapelle Sixtine .",31260,4laprison.txt
6.243148,"Ma tendresse pour Albertine se trouvait , par accident , les rendre tout à fait insupportables .",27526,3sodome2.txt
6.2433386,Or à ce moment je fus précisément favorisé d ' une telle apparition magique .,31202,4laprison.txt
6.252079,"Car , elle , on l ' appelait .",27182,3sodome2.txt
6.2538586,"J ' aime bien Eliane : aussi je ne lui en voulus pas , je me contentai de ne pas tenir compte des mots étranges et déplacés de quatuor tchèque et comme je suis un homme d ' ordre je mis au - dessus de ma cheminée l ' invitation de penser à Madame de Montmorency le Vendredi à 9 h . 1 / 2 .",31395,4laprison.txt
6.2543993,"Sans doute y avait - il quelque article d ' un écrivain que j ' aimais et qui , écrivant rarement , serait pour moi une surprise .",35408,5disparue2.txt
6.256429,"Car souvent quand je restais endormi au moment où j ' avais pensé au contraire que le bruit m ' aurait réveillé , pendant une heure encore je croyais l ' être , tout en sommeillant , et je me jouais à moi - même en minces ombres sur l ' écran de mon sommeil les divers spectacles auxquels il m ' empêchait , mais auxquels j ' avais l ' illusion d ' assister .",12501,2guermantes1.txt
6.2579455,il entendait seulement dans le silence de la nuit le murmure d ’ une conversation .,3219,0ducote.txt
6.2581873,"Et au moment où mon oreille recueillait ce bruit divin , il me semblait que c ' était , condensée en lui , toute la personne , toute la vie de la charmante captive , étendue là sous mes yeux .",28781,4laprison.txt
6.260085,L ' enthousiasme musical la saisit .,22989,3sodome1.txt
6.263535,"Ce n ' était pas seulement une matinée mondaine , une promenade avec Mme de Villeparisis que j ' eusse sacrifiées au « furet » ou aux « devinettes » de mes amies .",11016,1ombre3.txt
6.271645,il entendit un murmure céleste .,36284,5disparue2.txt
6.273282,C ' est avec délices que j ' écoutais leur pépiement .,11032,1ombre3.txt
6.2796726,Peut - être certains chefs - d ' oeuvre ont - ils été composés en bâillant . »,9762,1ombre3.txt
6.285892,mais je lui donnais probablement deux significations qui m ' épouvantaient également .,33348,4laprison.txt
6.287654,"Ils étaient perpétuellement parcourus , comme par un chemineau invisible , par le vent qui était pour moi le génie particulier de Combray .",1703,0ducote.txt
6.2965345,Le bruit des portes me faisait presque aussi mal parce que ce n ' était pas elle qui les ouvrait .,33943,5disparue1.txt
6.2970843,Il faut que mes oreilles m ' aient trompé .,7418,1ombre2.txt
6.3005853,Mme de Franquetot tenta une démarche en faveur de sa cousine qui aimait tant la musique .,20668,3sodome1.txt
6.301701,"il y a des gens que ça impressionne encore » , ce qui avait permis au moins à Mme Verdurin de répliquer : « Grand bien leur fasse ! »",3043,0ducote.txt
6.303517,On a dit que le silence était une force ;,13009,2guermantes1.txt
6.3035345,"Puis la vue revint complètement , des yeux le mal nomade passa aux oreilles .",16173,2guermantes2.txt
6.309819,"enfin jusqu ’ à leur nom féminin , désœuvré et doux , me faisaient battre le cœur mais d ’ un désir mondain , comme ces valses qui ne nous évoquent plus que le nom des belles invitées que l ’ huissier annonce à l ’ entrée d ’ un bal .",5032,0ducote.txt
6.310321,Il était pour moi comme ces jardins zoologiques où l ’ on voit rassemblés des flores diverses et des paysages opposés ;,5026,0ducote.txt
6.3125324,Mais ces mots : « Mademoiselle Albertine est partie » venaient de traduire dans mon cœur une souffrance telle que je ne pourrais pas y résister plus longtemps .,33521,5disparue1.txt
6.3125935,"Si faiblement traduit , son chagrin n ' en était pas moins très grand , aggravé d ' ailleurs par l ' ennui que sa fille , retenue à Combray ( que la jeune Parisienne appelait maintenant la « cambrousse » et où elle se sentait devenir « pétrousse » ) , ne pût vraisemblablement revenir pour la cérémonie mortuaire que Françoise sentait devoir être quelque chose de superbe .",16306,2guermantes2.txt
6.312991,"Mais même en dehors des rares minutes comme celles - là , où brusquement nous sentons l ' entité originale tressaillir et reprendre sa forme et sa ciselure au sein des syllabes mortes aujourd ' hui , si dans le tourbillon vertigineux de la vie courante , où ils n ' ont plus qu ' un usage entièrement pratique , les noms ont perdu toute couleur comme une toupie prismatique qui tourne trop vite et qui semble grise , en revanche quand , dans la rêverie , nous réfléchissons , nous cherchons , pour revenir sur le passé , à ralentir , à suspendre le mouvement perpétuel où nous sommes entraînés , peu à peu nous revoyons apparaître , juxtaposées , mais entièrement distinctes les unes des autres , les teintes qu ' au cours de notre existence nous présenta successivement un même nom .",11674,2guermantes1.txt
6.3168488,"Au reste , ma jalousie causée par les femmes qu ' aimait peut - être Albertine allait brusquement cesser .",23533,3sodome1.txt
6.3171134,"Et aux lacunes que cette distraction laissait dans le récit , s ’ ajoutait , quand c ’ était maman qui me lisait à haute voix , qu ’ elle passait toutes les scènes d ’ amour .",488,0ducote.txt
6.3211093,Ces derniers mots m ' accablèrent .,35992,5disparue2.txt
6.32616,"L ' étonnement et l ' espèce de honte que je ressentais de ne pas m ' être une seule fois dit qu ' Albertine était chez moi dans une position fausse , qui pouvait ennuyer sa tante , cet étonnement , ce n ' était pas la première fois , ce ne fut pas la dernière fois , que je l ' éprouvai .",36039,5disparue2.txt
6.3270183,Car je croyais qu ' on ne possédait de lui que sa sonate pour piano et violon .,31196,4laprison.txt
6.3451457,L ' invisibilité des innombrables oiseaux qui s ' y répondaient tout à côté de nous dans les arbres donnait la même impression de repos qu ' on a les yeux fermés .,8688,1ombre2.txt
6.345464,"Exposés sur ce silence qui n ’ en absorbait rien , les bruits les plus éloignés , ceux qui devaient venir de jardins situés à l ’ autre bout de la ville , se percevaient détaillés avec un tel « fini » qu ’ ils semblaient ne devoir cet effet de lointain qu ’ à leur pianissimo , comme ces motifs en sourdine si bien exécutés par l ’ orchestre du Conservatoire que quoiqu ’ on n ’ en perde pas une note on croit les entendre cependant loin de la salle du concert et que tous les vieux abonnés , - - les sœurs de ma grand ’ mère aussi quand Swann leur avait donné ses places , - - tendaient l ’ oreille comme s ’ ils avaient écouté les progrès lointains d ’ une armée en marche qui n ’ aurait pas encore tourné la rue de Trévise .",354,0ducote.txt
